stop,count
JD4,1623
PNG4,6540
RUL3,7765
DAH1,938
DAFC1,938
CSRT4,3
IGRT2,3
IGRT3,3
LEV2,3
CTN2,3
ENV2,3
ARS7,1
TRD3,497
MPAZ1,2272
EFRD1,2272
HSJ4,4
AML4,4369
HSJ5,108
ASPL1,1430
GONS2,3876
PCAR2,67
MRDR2,67
VNEM2,67
AAS2,67
SCT2,67
VIS2,1654
MTB4,649
ART5,20
SCAB1,20
JFPD1,20
LCMS1,20
HUMB1,20
HUMB2,20
HSJ8,75
